id,dtegranted,code,objectid,applno,parties,typegroup,group4,dtepegged,group3,group2,commoditiescd,archived,renewal,areaunit,group5,acccode,comments,interest,type,statusgrp,status,guidshape,typecode,mapref,guidlicense,part,dteexpires,areavalue,dterenewal,jurisdic,respoffice,name,guidpart,region,oldcode,commodities,group1,dteapplied
1,2008-10-29T00:00:00,9781,55934,KIN/20080707/150028,HAULCO HAULING COMPANY (100%),Recherches,,,,,,,,Carré,,,,,Permis de Recherches (AS),Active,Demande PE Approuvée,ee956c00-762a-4bb0-aaa9-b54bc0698f71,PR (AS),"Congo, DRC; Katanga; Tanganyika; Kalemie, Nyunzu; S7/28",46dae4f3-dacf-47f8-b344-3df81c0b3e49,Part 1,2013-10-28T00:00:00,120,,R.D. Congo,,,6e8c13b7-bac9-48bd-8e83-85b3319f3a6d,Katanga,,,,2008-07-07T01:00:00
2,2007-05-09T01:00:00,7512,55942,7512,Sanzetta Investments (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,65616e84-d0c1-479e-aa82-c615b48becf8,PR (AS),"Congo, DRC; N3/29, Province Orientale; Haut-Uele",a580701b-0b42-4c6b-b95b-1e031ff567cd,Part 1,2012-05-08T01:00:00,151,,R.D. Congo,,,c5980ea1-947a-4089-9b4b-b2caf94140ee,Province Orientale,,,,2007-02-16T00:00:00
3,2009-03-10T00:00:00,1716,56000,1716,BANRO CONGO MINING Sarl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,e81a55e5-d87a-4b91-b876-dcb37a31584d,PR (AS),"Congo, DRC; N0/28, Nord Kivu; Nord Kivu; Lubero",01fc84e2-6edf-41b2-b577-5b3c2e83f8ec,Part 1,2013-12-27T00:00:00,460,,R.D. Congo,KIN,,c4c40bae-6738-4686-8699-adce20eea80a,Nord Kivu,,,,2003-10-17T01:00:00
4,2006-10-10T01:00:00,2636,56004,2636,MASTERS (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Renouvellement,13522020-6684-4b6a-9327-f4aa42825433,PR (AS),"Congo, DRC; N0/28, Province Orientale; Ituri; Mambasa",4cd71f46-5ab3-410b-805f-762e2d84a40c,Part 1,2011-10-09T01:00:00,200,,R.D. Congo,KIN,,a475c0ae-368b-4ed8-8b11-092c2d7916e0,Province Orientale,,,,2005-04-01T01:00:00
5,2012-03-08T00:00:00,12717,56021, KIN/20110905/130000,LA MINIERE DU CONGO (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,b80bb37b-92a1-4f25-8704-01f639a02b73,PR (AS),"Congo, DRC; Katanga; Kolwezi; Lubudi; S11/25",e1ff7f8e-560e-48dd-ad63-42c5fc3618bf,Part 1,2017-03-07T00:00:00,50,,R.D. Congo,KIN,,c10aeafc-9c2f-4a75-8ed6-b332f1069b6e,Katanga,,,,2011-09-05T14:00:00
6,2012-03-08T00:00:00,12718,56022, KIN/20110905/130100,LA MINIERE DU CONGO (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,b077294f-3ce8-477e-835b-fe3b7b67a7d9,PR (AS),"Congo, DRC; Katanga; Kolwezi; S11/25",9aec64cb-ce18-4e7b-b90e-5f2023bff243,Part 1,2017-03-07T00:00:00,6,,R.D. Congo,KIN,,862da23e-4501-40f5-be3c-3197569dc6c8,Katanga,,,,2011-09-05T14:01:00
7,2012-03-08T00:00:00,12719,56023, KIN/20110905/130200,LA MINIERE DU CONGO (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,50d715fd-4126-4da7-9d82-3aebccac3c4b,PR (AS),"Congo, DRC; Katanga; Kolwezi; S11/25",79388b20-d356-4f53-877c-260f366cdfd5,Part 1,2017-03-07T00:00:00,72,,R.D. Congo,KIN,,354b9f67-c87a-410c-acab-708f427c745d,Katanga,,,,2011-09-05T14:02:00
8,2012-04-20T01:00:00,12720,56025, KIN/20110905/130500,Albert KAMPANGWE M. KALOBWA (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,f2d9a8d8-91ba-4109-9df8-1087dad459fa,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Pweto; S9/28",4068d6ee-549d-443e-bbc4-d065827cc619,Part 1,2017-04-19T01:00:00,470,,R.D. Congo,KIN,,14ef67fe-bd5d-4405-b446-6a2557ea37c6,Katanga,,,,2011-09-05T14:05:00
9,2012-04-20T01:00:00,12724,56026, KIN/20110905/131400,SOCIETE AMIBOD IMPORT-EXPORT (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,f71be7f4-3e90-472d-b0d6-4b2034d725b6,PR (AS),"Congo, DRC; Katanga; Kolwezi; Lubudi; S11/25",d27bf5f0-60ca-4566-be0a-4721af2f3d2b,Part 1,2017-04-19T01:00:00,227,,R.D. Congo,KIN,,c337e9b5-167c-400e-9914-733734a1e37b,Katanga,,,,2011-09-05T14:14:00
10,2012-04-20T01:00:00,12725,56027, KIN/20110905/131500,SOCIETE AMIBOD IMPORT-EXPORT (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,ce129e54-7b7d-478b-97e9-edeaa67a1430,PR (AS),"Congo, DRC; Katanga; Haut-Lomami; Kamina; Kolwezi; Lubudi; S10/25",1aeb9256-48a7-40e9-8bd4-38aab409e80b,Part 1,2017-04-19T01:00:00,392,,R.D. Congo,KIN,,a39e3785-a821-4756-81d2-270be523bfb4,Katanga,,,,2011-09-05T14:15:00
11,2012-04-20T01:00:00,12730,56030, KIN/20110905/132500,SOCIETE DU CIMENT DE KATANGA SPRL (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,e655d136-1e3d-4435-acd3-7505370fafce,PR (AS),"Congo, DRC; N3/26, Province Orientale; Bas-Uele; Ango, Poko",ddfe98d9-5f4e-4194-9fc6-603bbfd75d59,Part 1,2017-04-19T01:00:00,400,,R.D. Congo,KIN,,cad204ac-6fc0-4052-a9c5-8e98d3c7f72b,Province Orientale,,,,2011-09-05T14:25:00
12,2012-04-20T01:00:00,12726,56032, KIN/20110905/131600,SOCIETE AMIBOD IMPORT-EXPORT (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,0255cfb1-3a7e-48f5-8f97-7e7f913c9db6,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kipushi; S12/27",6fda13b8-2ca5-4da1-8673-fb1c8a3dd4ae,Part 1,2017-04-19T01:00:00,10,,R.D. Congo,KIN,,41206e33-39d0-4c65-8ad7-705a57037d9e,Katanga,,,,2011-09-05T14:16:00
13,2012-04-20T01:00:00,12735,56033, KIN/20110905/133000,SOCIETE DU CIMENT DE KATANGA SPRL (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,b3f80d59-94b0-4bcc-9d99-a8accfb8406c,PR (AS),"Congo, DRC; Katanga; Tanganyika; Kalemie; S6/28",9f16c94d-5ddf-4efc-9d43-df5efc6e3e07,Part 1,2017-04-19T01:00:00,187,,R.D. Congo,KIN,,5421549f-c041-45df-9499-f4ed6f011857,Katanga,,,,2011-09-05T14:30:00
14,2012-04-27T01:00:00,12727,56034, KIN/20110905/131700,SOCIETE AMIBOD IMPORT-EXPORT (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,1896da62-0903-4df6-8f8f-f958c53e2d0d,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kipushi; S12/27",e7cc9f03-5198-4176-80e3-86b559eb7fff,Part 1,2017-04-26T01:00:00,7,,R.D. Congo,KIN,,7e00c087-b8ad-4f1a-aad7-3f81d82e8c3c,Katanga,,,,2011-09-05T14:17:00
