id,status,dtegranted,code,objectid,dteapplied,LayerID,commodities,parties,dteexpires,LayerName,type,commoditiescd
1,Active,,352,1,2001-11-16T12:10:02,0,GARNET (GEMSTONE),Margaret Wagochi Machua (100%),,Active EPL/SPL,Special Prospecting License,GGa
2,Active,2013-01-24T00:00:00,349,2,2011-06-02T11:53:00,0,ALL MINERALS,RED ROCK RESOURCES PLC (100%),2015-01-23T00:00:00,Active EPL/SPL,Special Prospecting License,ALL
3,Active,2011-05-05T01:00:00,265,4,2006-11-20T15:30:00,0,DIATOMITE,JOHN KILOLO MANGELI (100%),2012-05-04T01:00:00,Active EPL/SPL,Exclusive Prospecting License,DIA
4,Active,2012-05-24T01:00:00,328,20,2009-04-07T16:10:00,0,GEMSTONES EXCEPT DIAMONDS,LILIAN M GEMS (100%),2014-05-23T01:00:00,Active EPL/SPL,Special Prospecting License,GS
5,Active,2012-05-24T01:00:00,328,21,2009-04-07T16:10:00,0,GEMSTONES EXCEPT DIAMONDS,LILIAN M GEMS (100%),2014-05-23T01:00:00,Active EPL/SPL,Special Prospecting License,GS
6,Active,2010-07-16T01:00:00,292,23,2009-05-27T17:00:00,0,IRON ORE,POMO ENTERPRISES (100%),2012-07-15T01:00:00,Active EPL/SPL,Special Prospecting License,Fe
7,Active,2010-07-16T01:00:00,292,24,2009-05-27T17:00:00,0,IRON ORE,POMO ENTERPRISES (100%),2012-07-15T01:00:00,Active EPL/SPL,Special Prospecting License,Fe
8,Active,2010-11-17T00:00:00,298,26,2010-07-22T11:45:00,0,MANGANESE,R. K. SANGHANI (100%),2012-11-16T00:00:00,Active EPL/SPL,Special Prospecting License,Mn
9,Active,2007-09-01T01:00:00,243,28,2005-05-25T09:10:00,0,IRON ORE,BIJAL CHANDRAKANT LAKHAMSHI (100%),2013-08-31T01:00:00,Active EPL/SPL,Special Prospecting License,Fe
10,Active,2010-03-31T01:00:00,245,30,2009-09-17T15:50:00,0,ALL MINERALS,BISIL MINING COMPANY LTD (100%),2013-03-30T00:00:00,Active EPL/SPL,Exclusive Prospecting License,ALL
11,Active,2010-03-31T01:00:00,245,31,2009-09-17T15:50:00,0,ALL MINERALS,BISIL MINING COMPANY LTD (100%),2013-03-30T00:00:00,Active EPL/SPL,Exclusive Prospecting License,ALL
12,Active,2010-03-31T01:00:00,245,32,2009-09-17T15:50:00,0,ALL MINERALS,BISIL MINING COMPANY LTD (100%),2013-03-30T00:00:00,Active EPL/SPL,Exclusive Prospecting License,ALL
13,Active,2008-04-01T01:00:00,260,33,2007-07-25T13:00:00,0,GYPSUM,ATHI RIVER MINING LTD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
14,Active,2011-06-07T01:00:00,312,37,2010-07-23T15:10:00,0,"MANGANESE, PYRITE",RICHMONT MINING COMPANY LTD (100%),2013-06-06T01:00:00,Active EPL/SPL,Special Prospecting License,"Mn, Py"
15,Active,2012-05-15T01:00:00,326,42,2011-07-28T13:42:41,0,GYPSUM,BAKALL COMPANY LIMITED (100%),2014-05-14T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
16,Active,2012-03-08T00:00:00,323,45,2011-05-13T17:24:00,0,GYPSUM,AFRO PRIDE LIMITED (100%),2014-03-07T00:00:00,Active EPL/SPL,Special Prospecting License,Gy
17,Active,2011-04-04T01:00:00,305,53,2010-03-12T15:30:17,0,ALL MINERALS,NICHOLAS MINING INDUSTRIES (100%),2013-04-03T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
18,Active,2011-02-17T00:00:00,249,57,2010-07-13T15:00:00,0,IRON ORE,DEVKI STEEL MILLS LTD (100%),2013-02-16T00:00:00,Active EPL/SPL,Exclusive Prospecting License,Fe
19,Active,2012-12-07T00:00:00,342,58,2011-02-08T11:27:34,0,"BASE MINERALS, GOLD",EAST AFRICAN PURE GOLD (100%),2014-12-06T00:00:00,Active EPL/SPL,Special Prospecting License,"Au, BM"
20,Active,2012-05-28T01:00:00,327,59,2011-07-18T16:00:00,0,INDUSTRIAL MINERALS,ABYSSINIA IRON AND STEEL LTD (100%),2014-05-17T01:00:00,Active EPL/SPL,Special Prospecting License,IND
21,Active,2011-04-29T01:00:00,250,62,2010-07-16T09:40:00,0,INDUSTRIAL MINERALS,FIRST WORK LIMITED (100%),2014-05-08T01:00:00,Active EPL/SPL,Exclusive Prospecting License,IND
22,Active,2012-03-07T00:00:00,318,63,2011-02-10T15:03:10,0,ALL MINERALS,SAHARCO GROUP INTERNATIONAL COMPANY LTD (100%),2014-03-06T00:00:00,Active EPL/SPL,Special Prospecting License,ALL
23,Active,2010-02-12T00:00:00,299,69,2009-11-25T16:12:00,0,"BASE MINERALS, GEMSTONES EXCEPT DIAMONDS",TURKSGATE ENTERPRISES LTD (100%),2012-12-01T00:00:00,Active EPL/SPL,Special Prospecting License,"BM, GS"
24,Active,2011-06-02T01:00:00,311,70,2008-06-05T17:15:00,0,GYPSUM,ARAWELLO CONTRACTORS AND COMPANY (100%),2013-06-01T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
25,Active,2012-09-10T01:00:00,333,71,2011-02-08T11:27:34,0,"BASE MINERALS, GOLD",EAST AFRICAN PURE GOLD (100%),2014-09-09T01:00:00,Active EPL/SPL,Special Prospecting License,"Au, BM"
26,Active,2011-01-27T00:00:00,SPL/539 NOT YET REGD,75,2002-07-03T10:35:00,0,NON PRECIOUS MINERALS,ABIGAIL MWIKYA (100%),2013-01-26T00:00:00,Active EPL/SPL,Special Prospecting License,NON
27,Active,2012-09-10T01:00:00,334,78,2011-02-08T11:27:34,0,"BASE MINERALS, GOLD",EAST AFRICAN PURE GOLD (100%),2014-09-09T01:00:00,Active EPL/SPL,Special Prospecting License,"Au, BM"
