id,status,dtegranted,archived,code,LayerName,objectid,areaunit,dteapplied,LayerID,commodities,part,parties,dteexpires,areavalue,type,commoditiescd
1,Active,2012-12-31T00:00:00,False,PL 8698/2012,Active PL Licenses,69948,Square Kilometres,2012-10-04T16:00:00,0,Copper,Part 1,S.S. International Limited (100%),2016-12-30T00:00:00,61.3,Prospecting Licence - Metallic Minerals,Cu
2,Active,2013-02-08T00:00:00,False,PL 8945/2013,Active PL Licenses,69970,Square Kilometres,2012-10-12T04:00:00,0,Diamond,Part 1,"Shams  Kanani (50%), Pradeep Gajjar (50%)",2017-02-07T00:00:00,45.35,Prospecting Licence - Kimberlitic Diamond,DIA
3,Active,2012-10-16T01:00:00,False,PL 8418/2012,Active PL Licenses,70073,Square Kilometres,2012-08-29T12:30:00,0,Uranium,Part 1,Uranex Tanzania Limited (100%),2016-10-15T01:00:00,63.68,Prospecting Licence - Energy Minerals,U
4,Pending Transfer,2012-05-25T01:00:00,False,PL 7913/2012,Active PL Licenses,70097,Square Kilometres,2011-11-18T03:30:00,0,Graphite,Part 1,Hillel Deogratius Msahara (100%),2016-05-24T01:00:00,153.66,Prospecting Licence - Industrial Minerals,GRF
5,Pending Transfer,2012-05-25T01:00:00,False,PL 7907/2012,Active PL Licenses,70176,Square Kilometres,2011-11-18T03:30:00,0,Graphite,Part 1,Atupokile Ezekiel (100%),2016-05-24T01:00:00,53.78,Prospecting Licence - Industrial Minerals,GRF
6,Pending Transfer,2012-05-25T01:00:00,False,PL 7907/2012,Active PL Licenses,70177,Square Kilometres,2011-11-18T03:30:00,0,Graphite,Part 14,Atupokile Ezekiel (100%),2016-05-24T01:00:00,53.78,Prospecting Licence - Industrial Minerals,GRF
7,Active,2014-08-13T01:00:00,False,PL 10130/2014,Active PL Licenses,70187,Square Kilometres,2012-05-23T14:00:00,0,Base Metal,Part 1,Mkata Mining Investment Limited (100%),2018-08-12T01:00:00,62.23,Prospecting Licence - Metallic Minerals,Base Metal
8,Active,2014-08-13T01:00:00,False,PL 10129/2014,Active PL Licenses,70189,Square Kilometres,2012-05-23T14:00:00,0,Gold,Part 1,Mkata Mining Investment Limited (100%),2018-08-12T01:00:00,224.38,Prospecting Licence - Metallic Minerals,Au
9,Active,2014-08-13T01:00:00,False,PL 10120/2014,Active PL Licenses,70196,Square Kilometres,2012-05-23T14:00:00,0,Gold,Part 1,Mkata Mining Investment Limited (100%),2018-08-12T01:00:00,98.88,Prospecting Licence - Metallic Minerals,Au
10,Active,2014-08-29T01:00:00,False,PL 10181/2014,Active PL Licenses,70197,Square Kilometres,2012-05-23T14:00:00,0,Copper,Part 1,Mkata Mining Investment Limited (100%),2018-08-28T01:00:00,30.8,Prospecting Licence - Metallic Minerals,Cu
11,Active,2014-08-13T01:00:00,False,PL 10131/2014,Active PL Licenses,70201,Square Kilometres,2012-05-23T14:00:00,0,Copper,Part 1,Mkata Mining Investment Limited (100%),2018-08-12T01:00:00,45.52,Prospecting Licence - Metallic Minerals,Cu
12,Active,2014-08-29T01:00:00,False,PL 10133/2014,Active PL Licenses,70202,Square Kilometres,2012-05-23T14:00:00,0,Base Metal,Part 1,Mkata Mining Investment Limited (100%),2018-08-28T01:00:00,238.05,Prospecting Licence - Metallic Minerals,Base Metal
13,Active,2013-11-01T00:00:00,False,PL 9443/2013,Active PL Licenses,70207,Square Kilometres,2012-09-03T15:18:00,0,Gold,Part 1,Resolute (Tanzania) Limited (100%),2017-10-31T00:00:00,19.17,Prospecting Licence - Metallic Minerals,Au
14,Active - In Default,2012-09-03T01:00:00,False,PL 8202/2012,Active PL Licenses,70261,Square Kilometres,2012-05-18T15:47:00,0,Graphite,Part 1,"Nuru Ligoha (50%), Daniel Ligoha (50%)",2016-09-02T01:00:00,60.78,Prospecting Licence - Industrial Minerals,GRF
15,Active - In Default,2012-09-17T01:00:00,False,PL 8207/2012,Active PL Licenses,70262,Square Kilometres,2012-05-18T15:47:00,0,Graphite,Part 1,"Allen B. Riziki (33%), Joyce Kasanula (33%), Gustav Hokororo (33%)",2016-09-16T01:00:00,21.94,Prospecting Licence - Industrial Minerals,GRF
16,Active - In Default,2012-06-04T01:00:00,False,PL 7997/2012,Active PL Licenses,70399,Square Kilometres,2011-11-04T11:40:00,0,Copper,Part 1,Jubilee Resources Limited  (100%),2016-06-03T01:00:00,88.09,Prospecting Licence - Metallic Minerals,Cu
17,Active,2013-02-08T00:00:00,False,PL 8910/2013,Active PL Licenses,70475,Square Kilometres,2012-09-27T11:30:00,0,Limestone,Part 1,Mugelwa James Mgendwa (100%),2017-02-07T00:00:00,108.38,Prospecting Licence - Industrial Minerals,LST
18,Active,2012-08-22T01:00:00,False,PL 8196/2012,Active PL Licenses,70612,Square Kilometres,2012-04-30T16:30:00,0,Sand,Part 1,Active Resources (T) Limited (100%),2016-08-21T01:00:00,224.34,Prospecting Licence - Industrial Minerals,Sand
19,Active,2014-01-24T00:00:00,False,PL 9569/2014,Active PL Licenses,70640,Square Kilometres,2011-03-21T07:35:00,0,Gold,Part 1,Mang'onyi Dhahabu Limited (100%),2018-01-23T00:00:00,46.96,Prospecting Licence - Metallic Minerals,Au
20,Active,2013-04-08T01:00:00,False,PL 9078/2013,Active PL Licenses,70750,Square Kilometres,2012-08-02T02:45:00,0,Gold,Part 1,Salim S. Madinga (100%),2017-04-07T01:00:00,6.71,Prospecting Licence - Metallic Minerals,Au
21,Active,2012-02-13T00:00:00,False,PL 7638/2012,Active PL Licenses,70765,Square Kilometres,2011-09-21T04:26:00,0,Gold,Part 1,Supras Resources (TZ) Limited (100%),2016-02-12T00:00:00,28.3,Prospecting Licence - Metallic Minerals,Au
22,Active,2012-06-18T01:00:00,False,PL 8030/2012,Active PL Licenses,70779,Square Kilometres,2012-03-28T14:36:00,0,Gold,Part 1,Trilith Resources (T) Limited (100%),2016-06-17T01:00:00,156.42,Prospecting Licence - Metallic Minerals,Au
23,Active,2011-10-25T01:00:00,False,PL 7290/2011,Active PL Licenses,70798,Square Kilometres,2011-07-08T12:20:00,0,Gold,Part 1,Songshan Geology Minerals (T) Co. Limited (100%),2015-10-24T01:00:00,102.43,Prospecting Licence - Metallic Minerals,Au
24,Active - In Default,2012-02-13T00:00:00,False,PL 7606/2012,Active PL Licenses,70799,Square Kilometres,2011-07-04T12:46:00,0,Copper,Part 1,Mkisinga Ally (100%),2016-02-12T00:00:00,34.56,Prospecting Licence - Metallic Minerals,Cu
25,Active,2013-03-27T00:00:00,False,PL 9057/2013,Active PL Licenses,70849,Square Kilometres,2012-10-15T15:50:00,0,Gold,Part 1,Ibrahim Wankanga Marwa (100%),2017-03-26T00:00:00,3.58,Prospecting Licence - Metallic Minerals,Au
