id,status,dtegranted,code,LayerName,objectid,areaunit,LayerID,statusgrp,parties,dteexpires,areavalue,type,resources,dteapplied,landlocked,long_name,shape_leng,iso_3digit,pop_cntry,fips_cntry,objectid_1,sovereign,color_map,pop_dens,curr_code,perimeter,gmi_cntry,curr_type,sqkm,sqmi,iso_2digit,cntry_name,area_,desig_type,gis_area,wdpaid,iucn_cat,gis_m_area,wdpa_pid,mang_auth,status_yr,metadataid,rep_m_area,desig,orig_name,mang_plan,marine,name,gov_type,country,rep_area,sub_loc,desig_eng,int_crit
1,Pending Renewal,2010-02-01T00:00:00,EL0568,Active EL Licenses,7,Square Kilometre,0,Active,Budha Mining & Exploration (2009) Limited (100%),2013-01-31T00:00:00,34.325,Exploration license,Gold ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pending Renewal,2010-02-15T00:00:00,EL0570,Active EL Licenses,9,Square Kilometre,0,Active,Heer Distributors Limited (100%),2013-02-14T00:00:00,3.0,Exploration license,"Coltan , Tungsten ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pending Renewal,2010-02-15T00:00:00,EL0571,Active EL Licenses,10,Square Kilometre,0,Active,Heer Distributors Limited (100%),2013-02-14T00:00:00,58.7323,Exploration license,"Coltan , Tungsten ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pending Renewal,2010-02-25T00:00:00,EL0572,Active EL Licenses,11,Square Kilometre,0,Active,Nelvo International Limited (100%),2013-02-24T00:00:00,128.0,Exploration license,"Base Metals , Gold ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pending Renewal,2010-02-25T00:00:00,EL0573,Active EL Licenses,12,Square Kilometre,0,Active,Nelvo International Limited (100%),2013-02-24T00:00:00,200.0,Exploration license,"Base Metals , Gold ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pending Renewal,2010-03-05T00:00:00,EL0574,Active EL Licenses,13,Square Kilometre,0,Active,Mineral Research & Mines Limited (100%),2013-03-04T00:00:00,93.759,Exploration license,"Base Metals , Gold ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pending Renewal,2010-02-18T00:00:00,EL0575,Active EL Licenses,14,Square Kilometre,0,Active,Megha  Minerals & Mines Limited  (100%),2013-02-17T00:00:00,329.85,Exploration license,"Berrylium , Columbite , Tantalite , Tin ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Active,2010-03-09T00:00:00,EL0576,Active EL Licenses,15,Square Kilometre,0,Active,Rare Earth Minerals (U) Limited (100%),2015-03-08T00:00:00,15.0,Exploration license,"Columbite , Tantalite , Tin ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pending Renewal,2010-03-05T00:00:00,EL0578,Active EL Licenses,17,Square Kilometre,0,Active,Blue Earth Refinaries Uganda (100%),2013-03-04T00:00:00,50.0,Exploration license,"Base Metals , Gold ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pending Renewal,2010-03-23T00:00:00,EL0583,Active EL Licenses,21,Square Kilometre,0,Active,Kigezi Steel Company Limited (100%),2013-03-22T00:00:00,1.5,Exploration license,Iron Ore ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
