id,Status,DteGranted,Code,LayerName,OBJECTID,AreaUnit,LayerID,Resources,Parties,DteExpires,AreaValue,Type,StatusGrp,DteApplied
1,Active,2005-11-21T00:00:00,ML0061,Active ML Licenses,147,Hectare,1,Pozzolana ,Tororo Cement Limited (100%),2026-11-20T00:00:00,9.239,Mining lease,Active,
2,Active,2006-04-06T01:00:00,ML0112,Active ML Licenses,148,Square Kilometre,1,,V.E.K Global Mining Limited (100%),2027-04-05T01:00:00,0.1534,Mining lease,Active,
3,Active,2006-08-30T01:00:00,ML0127,Active ML Licenses,149,Square Kilometre,1,Limestone ,Tororo Cement Limited (100%),2027-08-29T01:00:00,8.8547,Mining lease,Active,
4,Active,2007-10-02T01:00:00,ML0248,Active ML Licenses,150,Hectare,1,Limestone ,Hima Cement  Limited (100%),2028-10-01T01:00:00,536.3932,Mining lease,Active,
5,Active,2010-04-16T01:00:00,ML0593,Active ML Licenses,151,Square Kilometre,1,Limestone ,Tororo Cement Limited (100%),2031-04-15T01:00:00,51.8175,Mining lease,Active,
6,Active,2011-06-13T01:00:00,ML0594,Active ML Licenses,152,Square Kilometre,1,Iron Ore ,Kigezi Steel Company Limited (100%),2032-06-12T01:00:00,3.0617,Mining lease,Active,
7,Active,2010-11-08T00:00:00,ML0702,Active ML Licenses,153,Square Kilometre,1,Iron Ore ,Great Lakes Iron and Steel Company Limited (100%),2031-11-07T00:00:00,4.525,Mining lease,Active,
8,Active,2010-12-01T00:00:00,ML0706,Active ML Licenses,154,Square Kilometre,1,Limestone ,Hima Cement  Limited (100%),2031-11-30T00:00:00,0.5411,Mining lease,Active,
9,Active,1994-01-03T00:00:00,ML4063,Active ML Licenses,156,Square Kilometre,1,Gold ,AUC Mining (U) Limited (100%),2015-01-02T00:00:00,5.8068,Mining lease,Active,
10,Active,1994-05-05T01:00:00,ML4064,Active ML Licenses,157,Hectare,1,,Muhindo Enterprises (100%),2015-05-04T01:00:00,421.5782,Mining lease,Active,
11,Active,1994-12-12T00:00:00,ML4128,Active ML Licenses,158,Square Kilometre,1,Gold ,GREENSTONE RESOURCES LIMITED (100%),2015-12-11T00:00:00,0.561,Mining lease,Active,
12,Active,2009-12-02T00:00:00,ML4227,Active ML Licenses,159,Square Kilometre,1,Gypsum ,Ataco Services Limited (100%),2030-12-01T00:00:00,3.5046,Mining lease,Active,
13,Active,1999-05-03T01:00:00,ML4474,Active ML Licenses,160,Square Kilometre,1,,Tororo Cement Limited (100%),2020-05-02T01:00:00,0.4052,Mining lease,Active,
14,Active,1999-02-08T00:00:00,ML4478,Active ML Licenses,161,Square Kilometre,1,Wolfram ,Krone Uganda Limited (100%),2035-02-07T00:00:00,1.7678,Mining lease,Active,
15,Active,2002-08-06T01:00:00,ML4603,Active ML Licenses,162,Square Kilometre,1,Gold ,Kisita Mining Company Limited (100%),2023-08-05T01:00:00,8.716,Mining lease,Active,
16,Active,2003-08-15T01:00:00,ML4623,Active ML Licenses,163,Square Kilometre,1,,Marubeg Company Limited (100%),2024-08-14T01:00:00,0.1242,Mining lease,Active,
17,Active,2003-05-15T01:00:00,ML4651,Active ML Licenses,450,Square Kilometre,1,Vermiculite ,Gulf Resources Limited (100%),2024-05-14T01:00:00,17.2498,Mining lease,Active,
18,Active,2011-05-17T01:00:00,ML0762,Active ML Licenses,451,Hectare,1,,Zarnack Holdings (U) Limited (100%),2032-05-16T01:00:00,202.2,Mining lease,Active,
19,Active,2011-09-16T01:00:00,ML0842,Active ML Licenses,452,Square Kilometre,1,Wolfram ,Berkeley Reef Limited (100%),2032-09-15T01:00:00,4.8435,Mining lease,Active,
20,Active,2011-10-28T01:00:00,ML0886,Active ML Licenses,453,Square Kilometre,1,,Simba Mines and Mineral Resources Limited (100%),2032-10-27T01:00:00,4.5131,Mining lease,Active,
21,Active,1974-01-01T00:00:00,ML2151,Active ML Licenses,456,Hectare,1,Base Metals ,Kilembe Mines Limited (100%),2017-12-31T00:00:00,3249.4711,Mining lease,Active,
22,Active,2002-12-20T00:00:00,ML4622,Active ML Licenses,457,Square Kilometre,1,Limestone ,Tororo Cement Limited (100%),2023-12-19T00:00:00,20.0191,Mining lease,Active,
23,Active,2004-03-26T00:00:00,ML4684,Active ML Licenses,458,Square Kilometre,1,Limestone ,Tororo Cement Limited (100%),2025-03-25T00:00:00,0.69,Mining lease,Active,
24,Active,2013-04-19T01:00:00,ML1117,Active ML Licenses,769,Hectare,1,Dimension Stone ,Building  Majesties Limited (100%),2034-04-18T01:00:00,47.2024,Mining lease,Active,
25,Active,2013-03-13T00:00:00,ML1110,Active ML Licenses,784,Square Kilometre,1,Limestone ,Hima Cement  Limited (100%),2034-03-12T00:00:00,4.1221,Mining lease,Active,
26,Active,2012-09-03T01:00:00,ML1047,Active ML Licenses,822,Hectare,1,Cassiterite ,First Mining Company Limited (100%),2033-09-02T01:00:00,2915.3972,Mining lease,Active,
27,Active,2013-04-18T01:00:00,ML1129,Active ML Licenses,949,Square Kilometre,1,Gold ,Jan Mangal (U) Limited (100%),2034-04-17T01:00:00,74.0314,Mining lease,Active,
28,Active,,ML2433,Active ML Licenses,995,Hectare,1,Limestone ,Kilembe Mines Limited (100%),,34.53,Mining lease,Active,
29,Active,2014-03-14T00:00:00,ML1297,Active ML Licenses,1043,Hectare,1,Iron Ore ,Sino Minerals Investments Company Limited (100%),2035-03-13T00:00:00,4.494,Mining lease,Active,
30,Active,2013-06-20T01:00:00,ML1170,Active ML Licenses,1122,Square Kilometre,1,Iron Ore ,Uganda International Mining Company Limited (100%),2034-06-19T01:00:00,1.0552,Mining lease,Active,
31,Active,2014-02-25T00:00:00,ML1291,Active ML Licenses,1214,Square Kilometre,1,Marble ,Dao Marble Limited (100%),2035-02-24T00:00:00,4.0,Mining lease,Active,
32,Pending Renewal,2010-02-01T00:00:00,EL0568,Active EL Licenses,7,Square Kilometre,0,Gold ,Budha Mining & Exploration (2009) Limited (100%),2013-01-31T00:00:00,34.325,Exploration license,Active,
33,Pending Renewal,2010-02-15T00:00:00,EL0570,Active EL Licenses,9,Square Kilometre,0,"Coltan , Tungsten ",Heer Distributors Limited (100%),2013-02-14T00:00:00,3.0,Exploration license,Active,
34,Pending Renewal,2010-02-15T00:00:00,EL0571,Active EL Licenses,10,Square Kilometre,0,"Coltan , Tungsten ",Heer Distributors Limited (100%),2013-02-14T00:00:00,58.7323,Exploration license,Active,
35,Pending Renewal,2010-02-25T00:00:00,EL0572,Active EL Licenses,11,Square Kilometre,0,"Base Metals , Gold ",Nelvo International Limited (100%),2013-02-24T00:00:00,128.0,Exploration license,Active,
36,Pending Renewal,2010-02-25T00:00:00,EL0573,Active EL Licenses,12,Square Kilometre,0,"Base Metals , Gold ",Nelvo International Limited (100%),2013-02-24T00:00:00,200.0,Exploration license,Active,
37,Pending Renewal,2010-03-05T00:00:00,EL0574,Active EL Licenses,13,Square Kilometre,0,"Base Metals , Gold ",Mineral Research & Mines Limited (100%),2013-03-04T00:00:00,93.759,Exploration license,Active,
38,Pending Renewal,2010-02-18T00:00:00,EL0575,Active EL Licenses,14,Square Kilometre,0,"Berrylium , Columbite , Tantalite , Tin ",Megha  Minerals & Mines Limited  (100%),2013-02-17T00:00:00,329.85,Exploration license,Active,
39,Active,2010-03-09T00:00:00,EL0576,Active EL Licenses,15,Square Kilometre,0,"Columbite , Tantalite , Tin ",Rare Earth Minerals (U) Limited (100%),2015-03-08T00:00:00,15.0,Exploration license,Active,
40,Pending Renewal,2010-03-05T00:00:00,EL0578,Active EL Licenses,17,Square Kilometre,0,"Base Metals , Gold ",Blue Earth Refinaries Uganda (100%),2013-03-04T00:00:00,50.0,Exploration license,Active,
41,Pending Renewal,2010-03-23T00:00:00,EL0583,Active EL Licenses,21,Square Kilometre,0,Iron Ore ,Kigezi Steel Company Limited (100%),2013-03-22T00:00:00,1.5,Exploration license,Active,
42,Active,2010-03-26T00:00:00,EL0587,Active EL Licenses,24,Square Kilometre,0,"Base Metals , Gold ",Mate Mines Limited (100%),2015-03-25T00:00:00,20.0436,Exploration license,Active,
43,Active,2010-04-16T01:00:00,EL0596,Active EL Licenses,29,Square Kilometre,0,"Base Metals , Gold ",Mate Mines Limited (100%),2015-04-15T01:00:00,35.4592,Exploration license,Active,
44,Active,2010-04-22T01:00:00,EL0597,Active EL Licenses,30,Square Kilometre,0,"Base Metals , Gold ",Doher Industries Limited (100%),2013-04-21T01:00:00,404.988,Exploration license,Active,
45,Pending Renewal,2010-04-16T01:00:00,EL0598,Active EL Licenses,31,Square Kilometre,0,"Base Metals , Gold , PGM ",Budha Mining & Exploration (2009) Limited (100%),2013-04-15T01:00:00,171.5,Exploration license,Active,
46,Pending Renewal,2010-04-16T01:00:00,EL0599,Active EL Licenses,32,Square Kilometre,0,"Base Metals , Gold , PGM ",Zamani Mining Limited (100%),2013-04-15T01:00:00,462.55,Exploration license,Active,
47,Pending Renewal,2010-04-16T01:00:00,EL0600,Active EL Licenses,33,Square Kilometre,0,"Base Metals , Gold ",Zamani Mining Limited (100%),2013-04-15T01:00:00,9.1695,Exploration license,Active,
48,Active,2010-04-28T01:00:00,EL0601,Active EL Licenses,34,Square Kilometre,0,Limestone ,Fred Kasalirwe (100%),2013-04-27T01:00:00,4.0,Exploration license,Active,
49,Active,2010-04-07T01:00:00,EL0602,Active EL Licenses,35,Square Kilometre,0,"Base Metals , Gold ",Elegant Resources Limited (100%),2013-04-06T01:00:00,20.25,Exploration license,Active,
50,Pending Renewal,2010-04-30T01:00:00,EL0605,Active EL Licenses,38,Square Kilometre,0,"Base Metals , Coltan , PGM , Tin , Wolfram ",Saba Saba Mining Limited (100%),2013-04-29T01:00:00,116.1,Exploration license,Active,
51,Pending Renewal,2010-04-29T01:00:00,EL0606,Active EL Licenses,39,Square Kilometre,0,"Base Metals , Gold , PGM ",Saba Saba Mining Limited (100%),2013-04-28T01:00:00,6.0,Exploration license,Active,
52,Pending Renewal,2010-04-29T01:00:00,EL0609,Active EL Licenses,41,Square Kilometre,0,"Base Metals , Coltan , Gold ",Saba Saba Mining Limited (100%),2013-04-28T01:00:00,60.0,Exploration license,Active,
53,Pending Renewal,2010-04-30T01:00:00,EL0610,Active EL Licenses,42,Square Kilometre,0,"Base Metals , Coltan , Gold , PGM , Tin ",Saba Saba Mining Limited (100%),2013-04-29T01:00:00,6.0,Exploration license,Active,
54,Pending Renewal,2010-04-29T01:00:00,EL0611,Active EL Licenses,43,Square Kilometre,0,"Base Metals , Coltan , Gold , PGM , Tin ",Saba Saba Mining Limited (100%),2013-04-28T01:00:00,99.0,Exploration license,Active,
55,Pending Renewal,2010-04-29T01:00:00,EL0612,Active EL Licenses,44,Square Kilometre,0,"Base Metals , Coltan , Gold , PGM , Tin ",Saba Saba Mining Limited (100%),2013-04-28T01:00:00,6.0,Exploration license,Active,
56,Active,2010-05-05T01:00:00,EL0614,Active EL Licenses,46,Square Kilometre,0,"Berrylium , Bismuth , Gold , Tin ",Beta Minerals Limited (100%),2015-05-04T01:00:00,36.0,Exploration license,Active,
57,Pending Renewal,2010-05-14T01:00:00,EL0615,Active EL Licenses,47,Square Kilometre,0,Gypsum ,Gids Consults Limited (100%),2013-05-13T01:00:00,55.0,Exploration license,Active,
58,Active,2010-05-13T01:00:00,EL0617,Active EL Licenses,48,Square Kilometre,0,"Base Metals , Gold , PGM ",Pearl Mining (U) Limited (100%),2015-05-12T01:00:00,229.9674,Exploration license,Active,
59,Active,2010-05-24T01:00:00,EL0619,Active EL Licenses,49,Square Kilometre,0,"Base Metals , Gold ",Simba Mines and Mineral Resources Limited (100%),2015-05-23T01:00:00,53.0375,Exploration license,Active,
60,Active,2009-01-09T00:00:00,EL0416,Active EL Licenses,51,Square Kilometre,0,Gold ,Gold Search Technical Services (Private) Limited (100%),2014-01-08T00:00:00,95.543,Exploration license,Active,
61,Pending Renewal,2009-01-09T00:00:00,EL0422,Active EL Licenses,55,Square Kilometre,0,Gold ,Budha Mining & Exploration (2009) Limited (100%),2012-01-08T00:00:00,209.4,Exploration license,Active,
62,Pending Renewal,2009-01-09T00:00:00,EL0423,Active EL Licenses,56,Square Kilometre,0,Gold ,Elegant Resources Limited (100%),2018-01-08T00:00:00,3.9078,Exploration license,Active,
63,Active,2009-02-20T00:00:00,EL0425,Active EL Licenses,58,Square Kilometre,0,"Base Metals , Iron Ore ",AVR Engineering & Infrastructure Limited (100%),2014-02-19T00:00:00,10.0,Exploration license,Active,
64,Active,2009-02-20T00:00:00,EL0426,Active EL Licenses,59,Square Kilometre,0,"Base Metals , Gold ",AVR Engineering & Infrastructure Limited (100%),2016-02-19T00:00:00,2.0,Exploration license,Active,
65,Pending Renewal,2010-04-30T01:00:00,EL0607,Active EL Licenses,67,Square Kilometre,0,"Base Metals , Copper , Gold , Nickel , PGM ",Saba Saba Mining Limited (100%),2013-04-29T01:00:00,168.8,Exploration license,Active,
66,Pending Renewal,2009-07-22T01:00:00,EL0457,Active EL Licenses,78,Square Kilometre,0,"Base Metals , Gold ",Simba Mines and Mineral Resources Limited (100%),2014-07-21T01:00:00,34.3006,Exploration license,Active,
67,Pending Renewal,2009-07-30T01:00:00,EL0500,Active EL Licenses,79,Square Kilometre,0,"Base Metals , Gold ",Saba Saba Mining Limited (100%),2012-07-29T01:00:00,156.0,Exploration license,Active,
68,Active,2009-09-23T01:00:00,EL0506,Active EL Licenses,82,Square Kilometre,0,"Base Metals , Gold ",Oli Gold Muruli Limited (100%),2014-09-22T01:00:00,65.7922,Exploration license,Active,
69,Active,2009-09-23T01:00:00,EL0507,Active EL Licenses,83,Square Kilometre,0,"Base Metals , Gold ",Yamashita Resources Limited (100%),2014-09-22T01:00:00,89.0866,Exploration license,Active,
